Episode,Time,Blocks placed,Final Score,,Promedio
684,1.219032764,21,1378,,
685,1.150055647,21,1362,,
686,1.507999897,21,1184,,
687,1.201003075,21,1336,,
688,1.255517721,21,1292,,
689,1.268423796,21,1198,,
690,1.175009251,21,1374,,
691,1.325028896,21,1038,,
692,1.291030884,21,1050,,
693,1.344013929,21,1160,,
694,1.361538887,21,1170,,
695,1.208004713,21,1300,,
696,1.217000008,21,1372,,
697,1.277000189,21,1234,,
698,1.404029131,17,918,,
699,1.359996557,21,1086,,
700,1.179515839,21,1384,,
701,1.165821791,21,1392,,
702,1.330007315,21,1184,,
703,1.244005203,21,1386,,
704,1.482012033,21,1298,,
705,1.194520473,21,1358,,
706,1.208524227,21,1354,,
707,1.207004547,21,1204,,
708,1.283900023,21,1064,,
709,1.496001244,21,1016,,
710,1.35900712,21,1212,,
711,1.32199955,21,1162,,
712,1.317998648,21,1000,,
713,1.471017361,21,1320,,
714,1.594536304,21,1182,,
715,1.150986195,21,1356,,
716,1.426781178,21,1104,,
717,1.150001526,21,1176,,
718,1.42499876,21,1322,,
719,1.390997171,21,1130,,
720,1.194533587,21,1432,,
721,1.213476181,21,1196,,
722,1.249352932,21,1170,,
723,1.360041142,21,1356,,
724,1.157035112,21,1198,,
725,1.161998749,21,1406,,
726,1.398998976,21,1370,,
727,1.168509007,21,1390,,
728,1.351001024,21,1190,,
729,1.113999367,21,1456,,
730,1.293520451,21,1242,,
731,1.328011274,21,1248,,
732,1.425998449,17,792,,
733,1.536517382,21,1248,,
734,1.365003109,21,1272,,
735,1.38799715,21,1018,,
736,1.396999598,21,1162,,
737,1.244998217,21,1396,,
738,1.213525057,21,1336,,
739,1.112996101,21,1336,,
740,1.234000206,21,1240,,
741,1.441516638,21,1370,,
742,1.267001867,21,1252,,
743,1.256689787,21,1304,,
744,1.126518011,21,1242,,
745,1.695463181,21,1122,,
746,1.526031733,21,1030,,
747,1.21501255,21,1368,,
748,1.256518841,21,1280,,
749,1.580023289,21,1226,,
750,1.183519602,21,1322,,
751,1.376001835,21,1178,,
752,1.069016933,21,1216,,
753,1.359989166,21,1498,,
754,1.114527225,21,1246,,
755,1.051995039,21,1388,,
756,1.188517332,21,1456,,
757,1.122995377,21,1328,,
758,1.172943354,21,1390,,
759,1.493998766,21,1198,,
760,1.471005917,21,1246,,
761,1.299004078,21,1172,,
762,1.351809978,21,1262,,
763,1.240990877,21,1318,,
764,1.185010433,21,1266,,
765,1.388558388,21,1318,,
766,1.455003023,21,1196,,
767,1.214998007,21,1224,,
768,1.137005091,21,1226,,
769,1.328001261,21,964,,
770,1.338001728,21,1362,,
771,1.335523844,21,1140,,
772,1.293999195,21,1292,,
773,1.415002108,21,1312,,
774,1.363998413,21,1418,,
775,1.25500083,21,1046,,
776,1.462005854,21,1058,,
777,1.464062214,21,994,,
778,1.3349998,21,1266,,
779,1.325011253,21,1168,,
780,1.282045841,21,1206,,
781,1.319036484,21,1114,,
782,1.054821968,21,1460,,
783,1.338999987,21,1048,,
784,1.377141237,21,1182,,
785,0.985765457,21,1440,,
786,1.369538546,21,1198,,
787,1.182996273,21,1408,,
788,1.39403224,21,978,,
789,1.460016489,21,1220,,
790,1.21400094,21,1294,,
791,1.208995104,21,1132,,
792,1.328999281,21,1350,,
793,1.343569994,21,1242,,
794,1.40500021,21,1068,,
795,1.159987688,21,1312,,
796,1.502003908,21,1058,,
797,1.364993811,21,1252,,
798,1.417004108,21,1294,,
799,1.28600049,21,1160,,
800,1.188436508,21,1308,,
801,1.413232088,21,1430,,
802,1.06899929,21,1296,,
803,1.001998425,21,1364,,
804,1.280000448,21,1110,,
805,0.959997892,21,1456,,
806,1.32000494,21,1228,,
807,1.123815536,21,1306,,
808,1.533000231,20,988,,
809,1.30302,21,1250,,
810,1.131026745,21,1190,,
811,1.252999544,21,1036,,
812,1.350538254,21,1224,,
813,1.518460751,21,1242,,
814,1.244992018,21,1260,,
815,1.374008894,21,1240,,
816,1.446998119,21,1278,,
817,1.377006292,21,1332,,
818,1.342155695,21,1284,,
819,1.240999699,21,1002,,
820,1.601004124,20,996,,
821,1.192996025,21,1160,,
822,1.308017254,21,1292,,
823,1.358006001,21,1416,,
824,1.116993189,21,1402,,
825,1.144007444,21,1366,,
826,1.160992622,21,1370,,
827,1.164519787,21,1178,,
828,1.137006283,21,1236,,
829,1.007004261,21,1508,,
830,1.472006321,21,1036,,
831,1.23654294,21,1194,,
832,1.248012543,21,1194,,
833,1.201534271,21,1338,,
834,1.340995789,21,1256,,
835,1.388013124,21,1016,,
836,1.069003582,21,1516,,
837,1.370998144,17,1016,,
838,1.15401125,21,1262,,
839,1.121000528,21,1368,,
840,1.376999855,21,1358,,
841,1.219003439,21,1370,,
842,1.626995325,21,1226,,
843,1.337035894,20,1104,,
844,1.57917428,20,1110,,
845,1.387996435,21,1438,,
846,1.327548981,21,1242,,
847,1.220006466,21,1400,,
848,1.445992947,21,1176,,
849,1.271037102,21,1250,,
850,1.263995409,21,1292,,
851,1.408008814,21,854,,
852,1.408826113,21,1054,,
853,1.378525019,21,1258,,
854,1.409398794,20,1162,,
855,1.306000471,21,1178,,
856,1.222997427,21,1228,,
857,1.158998728,21,1130,,
858,1.146991491,21,1302,,
859,1.265008211,21,1220,,
860,1.391991377,21,1050,,
861,1.125993729,21,1378,,
862,1.498003006,21,1410,,
863,1.359000206,21,1242,,
864,1.3320086,21,1148,,
865,1.170996904,21,1398,,
866,1.299991846,21,834,,
867,1.458534718,21,1182,,
868,1.344003201,21,1080,,
869,1.341970921,21,1326,,
870,0.997004747,21,1520,,
871,1.148998499,21,1272,,
872,1.434981585,21,1212,,
873,1.299016714,21,1300,,
874,1.129367352,21,1370,,
875,1.442002535,21,1104,,
876,1.248526335,21,1130,,
877,1.318996906,21,1274,,
878,1.227987289,21,1230,,
879,1.449996948,21,1126,,
880,1.289001703,21,1236,,
881,1.432005167,21,1094,,
882,1.37999177,21,1138,,
883,1.262998343,21,1224,,
884,1.397991896,21,1192,,
885,1.380994081,21,1344,,
886,1.218994141,21,1366,,
887,1.244004726,20,1072,,
888,1.293712378,21,1156,,
889,1.152005911,21,1296,,
890,1.362997293,21,1360,,
891,1.428006172,21,1158,,
892,0.960993052,21,1418,,
893,1.363001108,21,1244,,
894,1.180000067,21,1254,,
895,1.232995272,21,1476,,
896,1.281991243,21,1314,,
897,1.197998285,21,1506,,
898,1.219999552,21,1380,,
899,1.281000853,21,1460,,
900,1.295000792,21,1118,,
901,1.393988848,21,1126,,
902,1.182996511,21,1294,,
903,1.164477348,21,1324,,
904,1.243002653,21,1490,,
905,1.46199894,21,1284,,
906,1.096996784,21,1276,,
907,1.092002869,21,1230,,
908,1.256010532,21,1398,,
909,1.463989735,21,892,,
910,1.319530249,21,1336,,
911,1.321322441,21,1238,,
912,1.308984041,21,1406,,
913,1.1369977,21,1252,,
914,1.576543331,20,1026,,
915,1.305994987,21,1254,,
916,1.368021727,21,1072,,
917,1.095011473,21,1392,,
918,1.212002754,21,1180,,
919,1.428002834,21,1090,,
920,1.403980255,21,1246,,
921,1.007000923,21,1450,,
922,1.095686197,21,1376,,
923,1.134998798,21,1454,,
924,1.287678003,14,674,,
925,1.362994671,21,1208,,
926,1.301031113,21,1098,,
927,1.201672554,21,1370,,
