Episode,Time,Blocks placed,Final Score
611,1.4415247440338135,21,1386
612,1.5210449695587158,21,1184
613,1.2229950428009033,21,1288
614,1.2909996509552002,21,1306
615,1.3859937191009521,21,1418
616,1.2640235424041748,21,1248
617,1.4835214614868164,21,1180
618,1.5385346412658691,18,854
619,1.579310417175293,21,1160
620,1.2755436897277832,21,1204
621,1.3581750392913818,21,1128
622,1.5270073413848877,21,1184
623,1.21864652633667,21,1174
624,1.3239989280700684,21,1170
625,1.2765257358551025,21,1146
626,1.261000156402588,21,1328
627,1.2510583400726318,21,1340
628,1.2310059070587158,21,1450
629,1.3712880611419678,21,1334
630,0.9459915161132812,21,1412
631,1.1160030364990234,21,1270
632,1.3139960765838623,21,1266
633,1.1470003128051758,21,1066
634,1.3370006084442139,21,1138
635,1.2219913005828857,21,1204
636,1.1895804405212402,21,1362
637,1.2569987773895264,21,1286
638,1.2394993305206299,21,1264
639,1.2208054065704346,21,1472
640,1.2790007591247559,21,1478
641,1.2689995765686035,21,1230
642,1.4280109405517578,21,1308
643,1.4319934844970703,21,1178
644,0.9689981937408447,21,1562
645,1.2828922271728516,21,1322
646,1.5130064487457275,21,1202
647,1.3120005130767822,21,1202
648,1.2135252952575684,21,1320
649,1.2100038528442383,21,1374
650,1.2859995365142822,21,1136
651,1.357529878616333,21,1274
652,1.3515300750732422,21,1188
653,1.097576379776001,21,1254
654,1.0369987487792969,21,1518
655,1.1709868907928467,21,1528
656,1.4299983978271484,19,926
657,1.3869972229003906,21,1054
658,1.4370038509368896,21,1116
659,1.5465116500854492,21,1012
660,1.5410048961639404,21,1258
661,1.6435282230377197,21,1214
662,1.371997594833374,21,1004
663,1.3219995498657227,21,1390
664,1.1989386081695557,21,1276
665,1.2744708061218262,21,1336
666,1.3969948291778564,21,1298
667,1.209996223449707,21,1306
668,1.2300007343292236,21,1168
669,1.1340031623840332,21,1178
670,1.1689951419830322,21,1248
671,1.1579985618591309,21,1216
672,1.298091173171997,21,1294
673,1.543015480041504,21,1312
674,1.113095760345459,21,1338
675,1.141035556793213,21,1340
676,1.143040657043457,21,1286
677,1.4610562324523926,21,1148
678,1.3390867710113525,21,1270
679,1.319000482559204,21,1162
680,1.216005563735962,21,1008
681,1.0840017795562744,21,1242
682,1.3200008869171143,21,1448
683,1.3615219593048096,21,1148
684,1.2190327644348145,21,1378
685,1.1500556468963623,21,1362
686,1.5079998970031738,21,1184
687,1.201003074645996,21,1336
688,1.2555177211761475,21,1292
689,1.2684237957000732,21,1198
690,1.1750092506408691,21,1374
691,1.325028896331787,21,1038
692,1.2910308837890625,21,1050
693,1.3440139293670654,21,1160
694,1.3615388870239258,21,1170
695,1.2080047130584717,21,1300
696,1.2170000076293945,21,1372
697,1.2770001888275146,21,1234
698,1.404029130935669,17,918
699,1.3599965572357178,21,1086
700,1.1795158386230469,21,1384
701,1.1658217906951904,21,1392
702,1.3300073146820068,21,1184
703,1.2440052032470703,21,1386
704,1.4820120334625244,21,1298
705,1.1945204734802246,21,1358
706,1.208524227142334,21,1354
707,1.2070045471191406,21,1204
708,1.2839000225067139,21,1064
709,1.4960012435913086,21,1016
710,1.3590071201324463,21,1212
711,1.3219995498657227,21,1162
712,1.3179986476898193,21,1000
713,1.4710173606872559,21,1320
714,1.594536304473877,21,1182
715,1.1509861946105957,21,1356
716,1.426781177520752,21,1104
717,1.1500015258789062,21,1176
718,1.4249987602233887,21,1322
719,1.3909971714019775,21,1130
720,1.1945335865020752,21,1432
721,1.2134761810302734,21,1196
722,1.2493529319763184,21,1170
723,1.3600411415100098,21,1356
724,1.1570351123809814,21,1198
725,1.1619987487792969,21,1406
726,1.3989989757537842,21,1370
727,1.1685090065002441,21,1390
728,1.3510010242462158,21,1190
729,1.113999366760254,21,1456
730,1.293520450592041,21,1242
731,1.3280112743377686,21,1248
732,1.4259984493255615,17,792
733,1.5365173816680908,21,1248
734,1.3650031089782715,21,1272
735,1.3879971504211426,21,1018
736,1.3969995975494385,21,1162
737,1.2449982166290283,21,1396
738,1.2135250568389893,21,1336
739,1.1129961013793945,21,1336
740,1.2340002059936523,21,1240
741,1.441516637802124,21,1370
742,1.2670018672943115,21,1252
743,1.2566897869110107,21,1304
744,1.1265180110931396,21,1242
745,1.6954631805419922,21,1122
746,1.526031732559204,21,1030
747,1.215012550354004,21,1368
748,1.256518840789795,21,1280
749,1.5800232887268066,21,1226
750,1.1835196018218994,21,1322
751,1.3760018348693848,21,1178
752,1.069016933441162,21,1216
753,1.3599891662597656,21,1498
754,1.1145272254943848,21,1246
755,1.051995038986206,21,1388
756,1.1885173320770264,21,1456
757,1.122995376586914,21,1328
758,1.172943353652954,21,1390
759,1.4939987659454346,21,1198
760,1.471005916595459,21,1246
761,1.299004077911377,21,1172
762,1.3518099784851074,21,1262
763,1.2409908771514893,21,1318
764,1.1850104331970215,21,1266
765,1.3885583877563477,21,1318
766,1.455003023147583,21,1196
767,1.2149980068206787,21,1224
768,1.137005090713501,21,1226
769,1.3280012607574463,21,964
770,1.3380017280578613,21,1362
771,1.3355238437652588,21,1140
772,1.293999195098877,21,1292
773,1.4150021076202393,21,1312
774,1.3639984130859375,21,1418
775,1.2550008296966553,21,1046
776,1.462005853652954,21,1058
777,1.464062213897705,21,994
778,1.3349997997283936,21,1266
779,1.3250112533569336,21,1168
780,1.282045841217041,21,1206
781,1.3190364837646484,21,1114
782,1.0548219680786133,21,1460
783,1.3389999866485596,21,1048
784,1.3771412372589111,21,1182
785,0.9857654571533203,21,1440
786,1.3695385456085205,21,1198
787,1.1829962730407715,21,1408
788,1.3940322399139404,21,978
789,1.4600164890289307,21,1220
790,1.214000940322876,21,1294
791,1.2089951038360596,21,1132
792,1.3289992809295654,21,1350
793,1.3435699939727783,21,1242
794,1.4050002098083496,21,1068
795,1.1599876880645752,21,1312
796,1.5020039081573486,21,1058
797,1.3649938106536865,21,1252
798,1.417004108428955,21,1294
